class,per_class_accuracy
shhh,0.975609756097561
doll,0.975
icecream,0.975
frog,0.9743589743589743
bug,0.9736842105263158
boy,0.9736842105263158
later,0.9736842105263158
lion,0.9736842105263158
aunt,0.9736842105263158
zebra,0.9736842105263158
callonphone,0.972972972972973
brown,0.95
uncle,0.95
first,0.95
cow,0.95
radio,0.9487179487179487
horse,0.9487179487179487
see,0.9487179487179487
orange,0.9487179487179487
tomorrow,0.9487179487179487
tiger,0.9487179487179487
gum,0.9487179487179487
please,0.9473684210526315
cowboy,0.9473684210526315
for,0.9473684210526315
black,0.9473684210526315
now,0.9459459459459459
blue,0.9444444444444444
thirsty,0.9444444444444444
milk,0.9444444444444444
shoe,0.9428571428571428
thankyou,0.9428571428571428
fireman,0.926829268292683
drink,0.925
owl,0.925
airplane,0.925
clown,0.9230769230769231
hello,0.9230769230769231
home,0.9230769230769231
snow,0.9210526315789473
many,0.9210526315789473
wolf,0.9210526315789473
hen,0.9210526315789473
head,0.9210526315789473
nose,0.918918918918919
bee,0.918918918918919
high,0.918918918918919
grandpa,0.918918918918919
apple,0.918918918918919
car,0.9166666666666666
if,0.9166666666666666
why,0.9142857142857143
stuck,0.9090909090909091
person,0.9032258064516129
bye,0.9024390243902439
nuts,0.9024390243902439
yesterday,0.9
bird,0.9
finish,0.8974358974358975
donkey,0.8974358974358975
food,0.8974358974358975
frenchfries,0.8974358974358975
flower,0.8947368421052632
moon,0.8947368421052632
store,0.8947368421052632
sick,0.8947368421052632
green,0.8947368421052632
hot,0.8947368421052632
ear,0.8918918918918919
same,0.8888888888888888
better,0.8888888888888888
drawer,0.8888888888888888
dirty,0.8888888888888888
bed,0.8857142857142857
pig,0.8857142857142857
find,0.875
down,0.875
think,0.8717948717948718
pretty,0.8717948717948718
man,0.8717948717948718
penny,0.8717948717948718
taste,0.8717948717948718
yourself,0.8717948717948718
sun,0.8717948717948718
up,0.8717948717948718
gift,0.868421052631579
yellow,0.868421052631579
mad,0.868421052631579
white,0.8648648648648649
not,0.8648648648648649
shower,0.8648648648648649
where,0.8648648648648649
minemy,0.8648648648648649
cute,0.8648648648648649
garbage,0.8648648648648649
dog,0.8648648648648649
closet,0.8648648648648649
chocolate,0.8648648648648649
chair,0.8648648648648649
happy,0.8611111111111112
owie,0.8611111111111112
mouse,0.8536585365853658
water,0.8461538461538461
talk,0.8461538461538461
hungry,0.8461538461538461
sad,0.8461538461538461
hair,0.8461538461538461
grass,0.8421052631578947
mom,0.8421052631578947
carrot,0.8421052631578947
dad,0.8421052631578947
dance,0.8387096774193549
another,0.8378378378378378
cheek,0.8378378378378378
story,0.8378378378378378
yucky,0.8378378378378378
TV,0.8378378378378378
rain,0.8378378378378378
loud,0.8378378378378378
scissors,0.8333333333333334
pool,0.8333333333333334
read,0.8285714285714286
pizza,0.825
napkin,0.825
refrigerator,0.8235294117647058
clean,0.8235294117647058
hesheit,0.8235294117647058
hat,0.8235294117647058
haveto,0.8235294117647058
puzzle,0.8235294117647058
cry,0.8205128205128205
toothbrush,0.8205128205128205
blow,0.8205128205128205
balloon,0.8205128205128205
snack,0.8157894736842105
boat,0.8108108108108109
stay,0.8108108108108109
weus,0.8108108108108109
elephant,0.8108108108108109
every,0.8108108108108109
bad,0.8108108108108109
arm,0.8055555555555556
quiet,0.8055555555555556
tongue,0.8055555555555556
mitten,0.8055555555555556
red,0.8055555555555556
who,0.8048780487804879
brother,0.8
listen,0.8
potty,0.8
kiss,0.8
shirt,0.8
because,0.8
tooth,0.7948717948717948
glasswindow,0.7948717948717948
dry,0.7948717948717948
old,0.7948717948717948
jacket,0.7941176470588235
police,0.7894736842105263
say,0.7894736842105263
mouth,0.7894736842105263
like,0.7894736842105263
cloud,0.7894736842105263
cereal,0.7894736842105263
girl,0.7894736842105263
room,0.7837837837837838
toy,0.7837837837837838
no,0.7837837837837838
lamp,0.7837837837837838
morning,0.7837837837837838
hear,0.7804878048780488
fast,0.7777777777777778
empty,0.7777777777777778
pretend,0.775
farm,0.775
make,0.775
noisy,0.7714285714285715
hate,0.7714285714285715
eye,0.7692307692307693
zipper,0.7666666666666667
bath,0.7647058823529411
have,0.7647058823529411
night,0.7647058823529411
fall,0.7631578947368421
flag,0.7631578947368421
outside,0.7631578947368421
stairs,0.7631578947368421
table,0.7575757575757576
touch,0.7567567567567568
time,0.7567567567567568
helicopter,0.7567567567567568
on,0.75
alligator,0.7435897435897436
animal,0.7428571428571429
any,0.7428571428571429
jump,0.7368421052631579
that,0.7368421052631579
fish,0.7368421052631579
kitty,0.7368421052631579
yes,0.7368421052631579
nap,0.7368421052631579
duck,0.7317073170731707
smile,0.7297297297297297
dryer,0.7297297297297297
underwear,0.7297297297297297
pajamas,0.717948717948718
fine,0.7142857142857143
sleep,0.7105263157894737
tree,0.7105263157894737
grandma,0.7105263157894737
pencil,0.7105263157894737
look,0.7073170731707317
sleepy,0.7073170731707317
child,0.7058823529411765
giraffe,0.7027027027027027
close,0.7027027027027027
will,0.7027027027027027
chin,0.696969696969697
wet,0.6944444444444444
go,0.6923076923076923
cat,0.6923076923076923
book,0.6857142857142857
ride,0.6764705882352942
sticky,0.6764705882352942
lips,0.675
all,0.6666666666666666
hide,0.6666666666666666
finger,0.6578947368421053
jeans,0.6578947368421053
wait,0.6571428571428571
before,0.6571428571428571
backyard,0.6486486486486487
face,0.6486486486486487
vacuum,0.6451612903225806
after,0.6285714285714286
goose,0.625
drop,0.6176470588235294
can,0.6111111111111112
feet,0.6111111111111112
cut,0.6
puppy,0.6
pen,0.575
open,0.5555555555555556
into,0.5555555555555556
there,0.5277777777777778
bedroom,0.5
give,0.5
beside,0.45161290322580644
wake,0.45
awake,0.42105263157894735
